filename,formula,BB,BCo,BFe,BMo,BNi,BO,CoCo,CoFe,CoMo,CoNi,CoO,FeFe,FeMo,FeNi,FeO,MoMo,MoNi,MoO,NiNi,NiO,OO
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-65,B12Co12Fe12Mo12Ni12O60,14,32,32,28,30,162,15,28,33,39,150,17,29,32,157,15,35,157,19,138,398
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-66,B12Co12Fe12Mo12Ni12O60,13,33,30,28,30,165,15,32,30,26,161,14,32,32,158,11,35,165,13,163,374
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-67,B12Co12Fe12Mo12Ni12O60,27,34,24,31,21,148,15,37,32,32,147,15,27,36,158,15,29,163,15,164,390
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-68,B12Co12Fe12Mo12Ni12O60,11,38,34,32,33,153,15,26,40,31,147,12,29,38,161,18,27,148,13,157,397
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-69,B12Co12Fe12Mo12Ni12O60,12,28,33,31,30,166,12,33,33,40,154,14,29,37,152,13,26,167,14,151,385
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-70,B12Co12Fe12Mo12Ni12O60,12,32,36,31,33,156,15,41,31,34,144,12,30,32,149,15,35,155,12,154,401
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-71,B12Co12Fe12Mo12Ni12O60,13,41,28,31,27,159,18,35,30,24,146,15,33,28,158,16,32,154,17,167,388
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-72,B12Co12Fe12Mo12Ni12O60,11,32,36,25,34,163,15,31,38,29,152,14,28,28,161,14,33,160,15,158,383
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-73,B12Co12Fe12Mo12Ni12O60,19,32,23,27,37,155,9,28,28,43,163,18,38,20,167,21,19,158,16,161,378
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-74,B12Co12Fe12Mo12Ni12O60,12,35,30,25,33,165,15,24,34,36,153,21,23,29,164,18,34,160,13,154,382
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-75,B12Co12Fe12Mo12Ni12O60,18,20,34,23,39,160,15,33,35,33,161,17,26,19,166,19,26,164,16,163,373
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-76,B12Co12Fe12Mo12Ni12O60,11,29,33,33,30,165,19,38,26,33,148,15,26,31,154,12,37,166,10,161,383
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-77,B12Co12Fe12Mo12Ni12O60,12,29,32,35,33,159,12,38,24,29,168,12,35,30,153,15,32,156,14,160,382
